Stage	Variable	n	Percentage
Espaço Kids - Ministrantes	Centro-Oeste	0	0
Espaço Kids - Ministrantes	Exterior	0	0
Espaço Kids - Ministrantes	Nordeste	0	0
Espaço Kids - Ministrantes	Norte	0	0
Espaço Kids - Ministrantes	Sudeste	12	100
Espaço Kids - Ministrantes	Sul	0	0
Estudante de Graduação	Centro-Oeste	20	10.5820105820106
Estudante de Graduação	Exterior	16	8.46560846560847
Estudante de Graduação	Nordeste	12	6.34920634920635
Estudante de Graduação	Norte	0	0
Estudante de Graduação	Sudeste	57	30.1587301587302
Estudante de Graduação	Sul	84	44.4444444444444
Estudante de Graduação - Sócio da SBBE	Centro-Oeste	7	7.14285714285714
Estudante de Graduação - Sócio da SBBE	Exterior	0	0
Estudante de Graduação - Sócio da SBBE	Nordeste	18	18.3673469387755
Estudante de Graduação - Sócio da SBBE	Norte	0	0
Estudante de Graduação - Sócio da SBBE	Sudeste	59	60.2040816326531
Estudante de Graduação - Sócio da SBBE	Sul	14	14.2857142857143
Estudante de pós-graduação - Sócio da SBBE	Centro-Oeste	9	6.47482014388489
Estudante de pós-graduação - Sócio da SBBE	Exterior	0	0
Estudante de pós-graduação - Sócio da SBBE	Nordeste	17	12.2302158273381
Estudante de pós-graduação - Sócio da SBBE	Norte	1	0.719424460431655
Estudante de pós-graduação - Sócio da SBBE	Sudeste	91	65.4676258992806
Estudante de pós-graduação - Sócio da SBBE	Sul	21	15.1079136690647
Estudantes de graduação - Não sócio da SBBE	Centro-Oeste	5	5.10204081632653
Estudantes de graduação - Não sócio da SBBE	Exterior	0	0
Estudantes de graduação - Não sócio da SBBE	Nordeste	12	12.2448979591837
Estudantes de graduação - Não sócio da SBBE	Norte	0	0
Estudantes de graduação - Não sócio da SBBE	Sudeste	70	71.4285714285714
Estudantes de graduação - Não sócio da SBBE	Sul	11	11.2244897959184
Estudantes de Pós-graduação - Não sócio da SBBE	Centro-Oeste	6	4.34782608695652
Estudantes de Pós-graduação - Não sócio da SBBE	Exterior	0	0
Estudantes de Pós-graduação - Não sócio da SBBE	Nordeste	10	7.2463768115942
Estudantes de Pós-graduação - Não sócio da SBBE	Norte	6	4.34782608695652
Estudantes de Pós-graduação - Não sócio da SBBE	Sudeste	101	73.1884057971015
Estudantes de Pós-graduação - Não sócio da SBBE	Sul	15	10.8695652173913
Mestrando, Doutorando e Pós doutorando	Centro-Oeste	18	5.8252427184466
Mestrando, Doutorando e Pós doutorando	Exterior	9	2.9126213592233
Mestrando, Doutorando e Pós doutorando	Nordeste	18	5.8252427184466
Mestrando, Doutorando e Pós doutorando	Norte	6	1.94174757281553
Mestrando, Doutorando e Pós doutorando	Sudeste	140	45.3074433656958
Mestrando, Doutorando e Pós doutorando	Sul	118	38.1877022653722
Organização	Centro-Oeste	0	0
Organização	Exterior	1	3.44827586206897
Organização	Nordeste	3	10.3448275862069
Organização	Norte	0	0
Organização	Sudeste	22	75.8620689655172
Organização	Sul	3	10.3448275862069
Palestrantes	Centro-Oeste	3	11.1111111111111
Palestrantes	Exterior	5	18.5185185185185
Palestrantes	Nordeste	4	14.8148148148148
Palestrantes	Norte	2	7.40740740740741
Palestrantes	Sudeste	7	25.9259259259259
Palestrantes	Sul	6	22.2222222222222
Professores da educação básica - Não sócio da SBBE	Centro-Oeste	2	7.14285714285714
Professores da educação básica - Não sócio da SBBE	Exterior	0	0
Professores da educação básica - Não sócio da SBBE	Nordeste	2	7.14285714285714
Professores da educação básica - Não sócio da SBBE	Norte	0	0
Professores da educação básica - Não sócio da SBBE	Sudeste	20	71.4285714285714
Professores da educação básica - Não sócio da SBBE	Sul	4	14.2857142857143
Professores da educação básica - Sócio da SBBE	Centro-Oeste	1	7.69230769230769
Professores da educação básica - Sócio da SBBE	Exterior	0	0
Professores da educação básica - Sócio da SBBE	Nordeste	3	23.0769230769231
Professores da educação básica - Sócio da SBBE	Norte	1	7.69230769230769
Professores da educação básica - Sócio da SBBE	Sudeste	6	46.1538461538462
Professores da educação básica - Sócio da SBBE	Sul	2	15.3846153846154
Professores e pesquisadores - Não sócio da SBBE	Centro-Oeste	2	3.57142857142857
Professores e pesquisadores - Não sócio da SBBE	Exterior	1	1.78571428571429
Professores e pesquisadores - Não sócio da SBBE	Nordeste	5	8.92857142857143
Professores e pesquisadores - Não sócio da SBBE	Norte	8	14.2857142857143
Professores e pesquisadores - Não sócio da SBBE	Sudeste	38	67.8571428571429
Professores e pesquisadores - Não sócio da SBBE	Sul	2	3.57142857142857
Professores e pesquisadores - Sócios da SBBE	Centro-Oeste	15	11.71875
Professores e pesquisadores - Sócios da SBBE	Exterior	0	0
Professores e pesquisadores - Sócios da SBBE	Nordeste	17	13.28125
Professores e pesquisadores - Sócios da SBBE	Norte	4	3.125
Professores e pesquisadores - Sócios da SBBE	Sudeste	80	62.5
Professores e pesquisadores - Sócios da SBBE	Sul	12	9.375
Profissional	Centro-Oeste	19	12.1019108280255
Profissional	Exterior	7	4.45859872611465
Profissional	Nordeste	20	12.7388535031847
Profissional	Norte	3	1.91082802547771
Profissional	Sudeste	65	41.4012738853503
Profissional	Sul	43	27.3885350318471
